GeoID,Date,Estimate; Median gross rent,Margin of Error; Median gross rent
6001,31/12/2005,1063,20
6007,31/12/2005,751,29
6013,31/12/2005,1121,28
6017,31/12/2005,1001,74
6019,31/12/2005,710,14
6023,31/12/2005,647,36
6025,31/12/2005,578,57
6029,31/12/2005,663,23
6031,31/12/2005,687,33
6033,31/12/2005,683,113
6037,31/12/2005,918,7
6039,31/12/2005,661,27
6041,31/12/2005,1394,67
6045,31/12/2005,757,49
6047,31/12/2005,744,45
6053,31/12/2005,1008,46
6055,31/12/2005,1077,102
6057,31/12/2005,999,97
6059,31/12/2005,1232,13
6061,31/12/2005,1041,54
6065,31/12/2005,927,22
6067,31/12/2005,866,12
6071,31/12/2005,899,19
6073,31/12/2005,1072,15
6075,31/12/2005,1118,20
6077,31/12/2005,853,20
6079,31/12/2005,1003,56
6081,31/12/2005,1274,36
6083,31/12/2005,1121,59
6085,31/12/2005,1209,22
6087,31/12/2005,1202,65
6089,31/12/2005,761,39
6095,31/12/2005,1096,34
6097,31/12/2005,1080,41
6099,31/12/2005,811,33
6101,31/12/2005,731,74
6107,31/12/2005,607,22
6111,31/12/2005,1181,36
6113,31/12/2005,941,29
6115,31/12/2005,664,65
6001,31/12/2006,1095,17
6007,31/12/2006,783,35
6013,31/12/2006,1176,27
6017,31/12/2006,1010,76
6019,31/12/2006,738,16
6023,31/12/2006,729,45
6025,31/12/2006,654,31
6029,31/12/2006,712,21
6031,31/12/2006,704,50
6033,31/12/2006,826,162
6037,31/12/2006,980,7
6039,31/12/2006,788,61
6041,31/12/2006,1442,54
6045,31/12/2006,859,107
6047,31/12/2006,781,41
6053,31/12/2006,1012,42
6055,31/12/2006,1071,76
6057,31/12/2006,1099,94
6059,31/12/2006,1314,14
6061,31/12/2006,1053,46
6065,31/12/2006,1015,20
6067,31/12/2006,916,18
6071,31/12/2006,965,12
6073,31/12/2006,1131,13
6075,31/12/2006,1174,27
6077,31/12/2006,888,27
6079,31/12/2006,1044,49
6081,31/12/2006,1327,31
6083,31/12/2006,1151,40
6085,31/12/2006,1222,15
6087,31/12/2006,1168,45
6089,31/12/2006,742,44
6095,31/12/2006,1072,36
6097,31/12/2006,1136,34
6099,31/12/2006,835,33
6101,31/12/2006,803,78
6107,31/12/2006,651,26
6111,31/12/2006,1277,37
6113,31/12/2006,891,39
6115,31/12/2006,667,71
6001,31/12/2007,1110,17
6007,31/12/2007,818,48
6013,31/12/2007,1212,35
6017,31/12/2007,965,67
6019,31/12/2007,789,18
6023,31/12/2007,796,52
6025,31/12/2007,615,40
6029,31/12/2007,758,20
6031,31/12/2007,716,39
6033,31/12/2007,875,97
6037,31/12/2007,1036,9
6039,31/12/2007,759,54
6041,31/12/2007,1418,52
6045,31/12/2007,854,55
6047,31/12/2007,770,71
6053,31/12/2007,1061,36
6055,31/12/2007,1152,98
6057,31/12/2007,1077,140
6059,31/12/2007,1372,13
6061,31/12/2007,1094,54
6065,31/12/2007,1066,27
6067,31/12/2007,936,12
6071,31/12/2007,1029,22
6073,31/12/2007,1168,14
6075,31/12/2007,1192,23
6077,31/12/2007,902,33
6079,31/12/2007,1071,57
6081,31/12/2007,1445,36
6083,31/12/2007,1205,32
6085,31/12/2007,1324,28
6087,31/12/2007,1159,45
6089,31/12/2007,788,34
6095,31/12/2007,1118,49
6097,31/12/2007,1171,33
6099,31/12/2007,914,31
6101,31/12/2007,819,58
6107,31/12/2007,697,43
6111,31/12/2007,1326,41
6113,31/12/2007,976,50
6115,31/12/2007,695,80
6001,31/12/2008,1192,17
6007,31/12/2008,832,38
6013,31/12/2008,1254,34
6017,31/12/2008,1048,76
6019,31/12/2008,797,16
6023,31/12/2008,782,43
6025,31/12/2008,646,21
6029,31/12/2008,801,27
6031,31/12/2008,875,62
6033,31/12/2008,830,183
6037,31/12/2008,1103,7
6039,31/12/2008,904,80
6041,31/12/2008,1565,86
6045,31/12/2008,871,66
6047,31/12/2008,711,35
6053,31/12/2008,1067,47
6055,31/12/2008,1175,81
6057,31/12/2008,978,54
6059,31/12/2008,1420,16
6061,31/12/2008,1183,45
6065,31/12/2008,1147,23
6067,31/12/2008,976,15
6071,31/12/2008,1070,19
6073,31/12/2008,1207,14
6075,31/12/2008,1262,38
6077,31/12/2008,935,27
6079,31/12/2008,1118,52
6081,31/12/2008,1437,34
6083,31/12/2008,1250,55
6085,31/12/2008,1413,23
6087,31/12/2008,1326,67
6089,31/12/2008,865,51
6095,31/12/2008,1216,41
6097,31/12/2008,1183,35
6099,31/12/2008,921,24
6101,31/12/2008,782,87
6107,31/12/2008,727,31
6111,31/12/2008,1404,33
6113,31/12/2008,1070,64
6115,31/12/2008,833,90
6001,31/12/2009,1185,18
6007,31/12/2009,812,46
6013,31/12/2009,1272,44
6017,31/12/2009,1113,60
6019,31/12/2009,830,15
6023,31/12/2009,817,47
6025,31/12/2009,660,42
6029,31/12/2009,839,22
6031,31/12/2009,852,47
6033,31/12/2009,820,79
6037,31/12/2009,1136,9
6039,31/12/2009,826,60
6041,31/12/2009,1591,70
6045,31/12/2009,799,84
6047,31/12/2009,808,41
6053,31/12/2009,1112,32
6055,31/12/2009,1233,90
6057,31/12/2009,1186,85
6059,31/12/2009,1439,14
6061,31/12/2009,1154,57
6065,31/12/2009,1121,20
6067,31/12/2009,970,16
6071,31/12/2009,1046,19
6073,31/12/2009,1224,14
6075,31/12/2009,1363,32
6077,31/12/2009,998,30
6079,31/12/2009,1125,51
6081,31/12/2009,1448,34
6083,31/12/2009,1271,51
6085,31/12/2009,1421,21
6087,31/12/2009,1261,77
6089,31/12/2009,847,64
6095,31/12/2009,1193,40
6097,31/12/2009,1183,42
6099,31/12/2009,941,22
6101,31/12/2009,823,61
6107,31/12/2009,796,32
6111,31/12/2009,1397,35
6113,31/12/2009,1026,61
6115,31/12/2009,811,66
6001,31/12/2010,1198,15
6007,31/12/2010,862,31
6013,31/12/2010,1283,34
6017,31/12/2010,1098,67
6019,31/12/2010,825,22
6023,31/12/2010,810,46
6025,31/12/2010,733,43
6029,31/12/2010,821,21
6031,31/12/2010,824,24
6033,31/12/2010,842,82
6037,31/12/2010,1147,7
6039,31/12/2010,877,41
6041,31/12/2010,1510,77
6045,31/12/2010,952,42
6047,31/12/2010,807,52
6053,31/12/2010,1157,36
6055,31/12/2010,1186,64
6057,31/12/2010,976,147
6059,31/12/2010,1402,13
6061,31/12/2010,1114,59
6065,31/12/2010,1121,22
6067,31/12/2010,980,16
6071,31/12/2010,1035,23
6073,31/12/2010,1249,14
6075,31/12/2010,1385,33
6077,31/12/2010,995,33
6079,31/12/2010,1137,43
6081,31/12/2010,1447,28
6083,31/12/2010,1267,53
6085,31/12/2010,1418,21
6087,31/12/2010,1284,69
6089,31/12/2010,885,51
6095,31/12/2010,1201,39
6097,31/12/2010,1204,28
6099,31/12/2010,978,33
6101,31/12/2010,791,51
6107,31/12/2010,798,34
6111,31/12/2010,1381,47
6113,31/12/2010,1056,62
6115,31/12/2010,807,80
6001,31/12/2011,1244,20
6007,31/12/2011,827,43
6013,31/12/2011,1279,40
6017,31/12/2011,993,84
6019,31/12/2011,857,16
6023,31/12/2011,876,49
6025,31/12/2011,713,53
6029,31/12/2011,839,26
6031,31/12/2011,916,49
6033,31/12/2011,945,135
6037,31/12/2011,1161,7
6039,31/12/2011,787,45
6041,31/12/2011,1480,78
6045,31/12/2011,1019,85
6047,31/12/2011,814,36
6053,31/12/2011,1164,34
6055,31/12/2011,1316,89
6057,31/12/2011,1095,134
6059,31/12/2011,1430,14
6061,31/12/2011,1180,64
6065,31/12/2011,1101,23
6067,31/12/2011,986,16
6071,31/12/2011,1056,23
6073,31/12/2011,1237,16
6075,31/12/2011,1407,36
6077,31/12/2011,964,28
6079,31/12/2011,1206,44
6081,31/12/2011,1549,42
6083,31/12/2011,1265,54
6085,31/12/2011,1462,21
6087,31/12/2011,1358,70
6089,31/12/2011,877,48
6095,31/12/2011,1188,53
6097,31/12/2011,1189,29
6099,31/12/2011,939,29
6101,31/12/2011,837,98
6107,31/12/2011,762,28
6111,31/12/2011,1382,35
6113,31/12/2011,987,43
6115,31/12/2011,770,76
6001,31/12/2012,1265,22
6007,31/12/2012,891,38
6013,31/12/2012,1344,34
6017,31/12/2012,1093,67
6019,31/12/2012,858,15
6023,31/12/2012,847,38
6025,31/12/2012,726,49
6029,31/12/2012,872,21
6031,31/12/2012,795,44
6033,31/12/2012,799,57
6037,31/12/2012,1175,6
6039,31/12/2012,883,57
6041,31/12/2012,1574,60
6045,31/12/2012,874,74
6047,31/12/2012,834,38
6053,31/12/2012,1185,39
6055,31/12/2012,1276,81
6057,31/12/2012,1245,127
6059,31/12/2012,1465,12
6061,31/12/2012,1254,52
6065,31/12/2012,1129,21
6067,31/12/2012,984,15
6071,31/12/2012,1064,22
6073,31/12/2012,1253,14
6075,31/12/2012,1512,38
6077,31/12/2012,986,28
6079,31/12/2012,1183,40
6081,31/12/2012,1587,42
6083,31/12/2012,1324,51
6085,31/12/2012,1566,27
6087,31/12/2012,1474,80
6089,31/12/2012,913,56
6095,31/12/2012,1244,41
6097,31/12/2012,1251,33
6099,31/12/2012,959,26
6101,31/12/2012,861,45
6107,31/12/2012,810,26
6111,31/12/2012,1438,33
6113,31/12/2012,1011,48
6115,31/12/2012,864,60
6001,31/12/2013,1335,18
6007,31/12/2013,864,34
6013,31/12/2013,1389,39
6017,31/12/2013,1018,77
6019,31/12/2013,859,19
6023,31/12/2013,914,62
6025,31/12/2013,759,40
6029,31/12/2013,894,25
6031,31/12/2013,825,67
6033,31/12/2013,944,81
6037,31/12/2013,1205,5
6039,31/12/2013,968,45
6041,31/12/2013,1632,86
6045,31/12/2013,904,57
6047,31/12/2013,864,38
6053,31/12/2013,1217,29
6055,31/12/2013,1299,79
6057,31/12/2013,1262,116
6059,31/12/2013,1499,20
6061,31/12/2013,1321,49
6065,31/12/2013,1164,18
6067,31/12/2013,1014,23
6071,31/12/2013,1092,18
6073,31/12/2013,1289,19
6075,31/12/2013,1491,36
6077,31/12/2013,995,29
6079,31/12/2013,1203,56
6081,31/12/2013,1669,42
6083,31/12/2013,1336,48
6085,31/12/2013,1653,22
6087,31/12/2013,1350,58
6089,31/12/2013,893,42
6095,31/12/2013,1257,49
6097,31/12/2013,1285,41
6099,31/12/2013,967,26
6101,31/12/2013,959,56
6107,31/12/2013,811,31
6111,31/12/2013,1518,46
6113,31/12/2013,1110,46
6115,31/12/2013,918,84
